time,type,value
1646373268.941028,meditation,57
1646373269.9521737,attention,57
1646373269.9530318,meditation,57
1646373271.000175,attention,57
1646373271.000175,meditation,57
1646373271.9505792,attention,57
1646373271.9505792,meditation,57
1646373272.9510825,attention,57
1646373272.9510825,meditation,57
1646373273.9426837,attention,57
1646373273.9426837,meditation,57
1646373274.937248,attention,57
1646373274.9382346,meditation,57
1646373275.9384272,attention,57
1646373275.9394286,meditation,57
1646373276.9374435,attention,57
1646373276.9374435,meditation,57
1646373278.1069565,attention,57
1646373278.107957,meditation,57
1646373278.9700246,attention,57
1646373278.9710243,meditation,57
1646373279.9677372,attention,38
1646373279.9687665,meditation,88
1646373280.9543483,attention,43
1646373280.9563487,meditation,81
1646373281.977939,attention,43
1646373281.977939,meditation,81
1646373283.1349416,attention,43
1646373283.1359522,meditation,81
1646373284.0800776,attention,43
1646373284.0810754,meditation,81
1646373284.9790566,attention,43
1646373284.9790566,meditation,81
1646373285.9447947,attention,43
1646373285.9447947,meditation,81
1646373286.9441643,attention,43
1646373286.9451625,meditation,81
1646373287.9377224,attention,43
1646373287.9387393,meditation,81
1646373289.0482204,attention,43
1646373289.0482204,meditation,81
1646373289.9388783,attention,43
1646373289.9398785,meditation,81
1646373290.9430423,attention,43
1646373290.9440343,meditation,81
1646373291.9401069,attention,50
1646373291.9411104,meditation,67
1646373292.9360902,attention,50
1646373292.9370813,meditation,53
1646373293.939827,attention,51
1646373293.939827,meditation,40
1646373294.9358363,attention,54
1646373294.9378357,meditation,40
1646373296.0272908,attention,54
1646373296.0272908,meditation,40
1646373296.9568799,attention,54
1646373296.9578767,meditation,40
1646373297.941579,attention,43
1646373297.941579,meditation,61
1646373298.945102,attention,41
1646373298.9461038,meditation,80
1646373299.9563067,attention,44
1646373299.9563067,meditation,74
1646373300.9424338,attention,37
1646373300.9424338,meditation,66
1646373301.9960852,attention,41
1646373301.9960852,meditation,44
1646373303.0031002,attention,50
1646373303.0060844,meditation,37
1646373303.9547505,attention,27
1646373303.9557507,meditation,41
1646373304.943307,attention,23
1646373304.943307,meditation,44
1646373305.9760194,attention,23
1646373305.9760194,meditation,44
1646373307.013672,attention,23
1646373307.0146775,meditation,44
1646373307.9421682,attention,23
1646373307.9431524,meditation,44
1646373308.9432154,attention,23
1646373308.9432154,meditation,44
1646373309.96796,attention,23
1646373309.9689517,meditation,44
1646373310.935988,attention,23
1646373310.9369972,meditation,44
1646373311.979315,attention,23
1646373311.979315,meditation,44
1646373312.93636,attention,23
1646373312.9383707,meditation,44
1646373314.0123572,attention,23
1646373314.0123572,meditation,44
1646373314.9363914,attention,14
1646373314.9373724,meditation,43
1646373315.9423592,attention,10
1646373315.9433577,meditation,48
1646373316.9658775,attention,24
1646373316.9668837,meditation,37
1646373317.9364333,attention,24
1646373317.937431,meditation,37
1646373318.9383245,attention,24
1646373318.939305,meditation,37
1646373319.9363225,attention,24
1646373319.9363225,meditation,37
1646373321.0093038,attention,24
1646373321.0093038,meditation,37
1646373321.9343061,attention,30
1646373321.9353123,meditation,37
1646373322.9483154,attention,41
1646373322.9493115,meditation,34
1646373324.8962576,attention,44
1646373324.8962576,meditation,11
1646373325.0166633,attention,51
1646373325.0166633,meditation,11
1646373326.727318,attention,78
1646373326.727318,meditation,27
1646373327.32917,attention,67
1646373327.32917,meditation,37
1646373328.2388887,attention,70
1646373328.2403622,meditation,50
1646373329.0540311,attention,66
1646373329.0550466,meditation,75
1646373330.7608395,attention,48
1646373330.7608395,meditation,83
1646373331.7750819,attention,57
1646373331.7760832,meditation,91
1646373332.9417906,attention,61
1646373332.9417906,meditation,80
1646373333.9893115,attention,61
1646373333.99031,meditation,80
1646373334.9908552,attention,61
1646373334.9918425,meditation,80
1646373335.940856,attention,61
1646373335.942837,meditation,80
1646373336.9659488,attention,61
1646373336.9659488,meditation,80
1646373338.0034363,attention,60
1646373338.0044334,meditation,64
1646373338.9741037,attention,54
1646373338.975089,meditation,54
1646373339.9498506,attention,53
1646373339.9498506,meditation,69
1646373341.0999124,attention,53
1646373341.0999124,meditation,69
1646373342.0831475,attention,56
1646373342.0841436,meditation,64
1646373343.1510441,attention,63
1646373343.1520612,meditation,77
1646373344.1237245,attention,63
1646373344.1237245,meditation,77
1646373345.4920707,attention,60
1646373345.4920707,meditation,84
1646373345.9599192,attention,69
1646373345.9599192,meditation,69
1646373347.341111,attention,78
1646373347.3431125,meditation,64
1646373348.2263446,attention,78
1646373348.2263446,meditation,64
1646373350.0293028,attention,74
1646373350.0293028,meditation,29
1646373358.9926558,attention,37
1646373358.9926558,meditation,67
1646373368.9376373,attention,57
1646373368.9386368,meditation,30
1646373369.9345229,attention,81
1646373369.9345229,meditation,63
1646373370.9635267,attention,100
1646373370.9635267,meditation,74
1646373371.9375463,attention,97
1646373371.9385407,meditation,63
1646373372.9495394,attention,96
1646373372.9525416,meditation,80
1646373373.9362848,attention,67
1646373373.9382782,meditation,75
1646373374.9328523,attention,60
1646373374.9338527,meditation,69
1646373375.9345026,attention,44
1646373375.9345026,meditation,61
1646373376.9356046,attention,35
1646373376.9366412,meditation,47
1646373377.982575,attention,37
1646373377.983575,meditation,56
1646373378.949476,attention,20
1646373378.949476,meditation,37
1646373379.936159,attention,27
1646373379.9421625,meditation,56
1646373380.9344106,attention,40
1646373380.9364412,meditation,64
1646373381.9923217,attention,54
1646373381.9933202,meditation,47
1646373382.9333212,attention,67
1646373382.9343379,meditation,80
1646373383.9353487,attention,60
1646373383.936343,meditation,67
1646373384.942321,attention,60
1646373384.944321,meditation,44
1646373385.9343183,attention,50
